"Source:","C:\Users\Megabytephreak\Code\scope-footswitch\hw\scope-footswitch.sch"
"Date:","2018-08-17 12:06:21 AM"
"Tool:","Eeschema (5.0.0)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","COLOR","CREATED_ON","Capacitance","ComponentLink1Description","ComponentLink2Description","ComponentLink2URL","Description","Dielectric","Frequency","IF","Id","MANUFACTURER_PART_NUMBER","Manufacturer","NUMBER","Package","Power","Resistance","Supplier 1","Supplier 2","Supplier Part Number 1","Supplier Part Number 2","Tolerance","Type","VF","VR","Vdss","Vgsth","Voltage"
"","","C1","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C2","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C3","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C4","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C5","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C6","C00002","capacitors:C00002","footprints:C_0603_1608M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM188R61A105KA61.pdf","","02/18/11 00:00:00","1µ","Datasheet","","","CAP CER 1.0UF 10V 10% X5R 0603","X5R","","","","GRM188R61A105KA61D","Murata","","0603","","","Digi-key","Digi-key","490-1543-2-ND","490-1543-2-ND","±10%","","","","","","10V"
"","","C7","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C8","C00001","capacitors:C00001","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf","","02/17/11 00:00:00","100n","Datasheet","","","CAP CER .1UF 10V 10% X5R 0402","X5R","","","","GRM155R61A104KA01D","Murata","","0402","","","Digi-key","Digi-key","490-1318-2-ND","490-1318-1-ND","±10%","","","","","","10V"
"","","C9","C00033","capacitors:C00033","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H220JA01-01.pdf","","08/04/17 00:00:00","22p","Spec Sheet","","","CAP CER 22PF 50V C0G/NP0 0402","C0G","","","","GRM1555C1H220JA01J","Murata","","0402","","","Digi-Key","Digi-Key","490-11382-2-ND","490-11382-1-ND","±5%","","","","","","50V"
"","","C10","C00004","capacitors:C00004","footprints:C_0805_2012M","http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM21BR60J106ME19.pdf","","02/18/11 00:00:00","10µ","Datasheet","","","CAP CER 10UF 6.3V 20% X5R 0805","X5R","","","","GRM21BR60J106ME19L","Murata","","0805","","","Digi-key","Digi-key","490-1718-2-ND","490-1718-1-ND","±20%","","","","","","6.3V"
"","","C11","C00033","capacitors:C00033","footprints:C_0402_1005M","http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H220JA01-01.pdf","","08/04/17 00:00:00","22p","Spec Sheet","","","CAP CER 22PF 50V C0G/NP0 0402","C0G","","","","GRM1555C1H220JA01J","Murata","","0402","","","Digi-Key","Digi-Key","490-11382-2-ND","490-11382-1-ND","±5%","","","","","","50V"
