Source:,C:\Users\Megabytephreak\Code\scope-footswitch\hw\scope-footswitch.sch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,2018-11-19 0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator:,C:\Users\Megabytephreak\Code\scope-footswitch\hw\kicad-library\scripting/bom.py,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component Count:,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,BOM_IGNORE,COLOR,CREATED_ON,Capacitance,ComponentLink1Description,ComponentLink2Description,ComponentLink2URL,DNP,Description,Dielectric,Frequency,IF,Id,MANUFACTURER_PART_NUMBER,Manufacturer,NUMBER,Package,Power,Resistance,Supplier 1,Supplier 2,Supplier Part Number 1,Supplier Part Number 2,Tolerance,Type,VF,VR,Vdss,Vgsth,Voltage
1,18,"C1, C2, C3, C4, C7, C8, C13, C14, C15, C16, C17, C18, C19, C21, C22, C23, C27, C29",C00001,capacitors:C00001,footprints:C_0402_1005M,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155R61A104KA01.pdf,,,02/17/11 00:00:00,100n,Datasheet,,,,CAP CER .1UF 10V 10% X5R 0402,X5R,,,,GRM155R61A104KA01D,Murata,,402,,,Digi-key,Digi-key,490-1318-2-ND,490-1318-1-ND,±10%,,,,,,10V
2,3,"C6, C20, C28",C00002,capacitors:C00002,footprints:C_0603_1608M,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM188R61A105KA61.pdf,,,02/18/11 00:00:00,1µ,Datasheet,,,,CAP CER 1.0UF 10V 10% X5R 0603,X5R,,,,GRM188R61A105KA61D,Murata,,603,,,Digi-key,Digi-key,490-1543-2-ND,490-1543-2-ND,±10%,,,,,,10V
3,2,"C9, C11",C00033,capacitors:C00033,footprints:C_0402_1005M,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H220JA01-01.pdf,,,2008-04-17 0:00,22p,Spec Sheet,,,,CAP CER 22PF 50V C0G/NP0 0402,C0G,,,,GRM1555C1H220JA01J,Murata,,402,,,Digi-Key,Digi-Key,490-11382-2-ND,490-11382-1-ND,±5%,,,,,,50V
4,1,C10,C00004,capacitors:C00004,footprints:C_0805_2012M,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM21BR60J106ME19.pdf,,,02/18/11 00:00:00,10µ,Datasheet,,,,CAP CER 10UF 6.3V 20% X5R 0805,X5R,,,,GRM21BR60J106ME19L,Murata,,805,,,Digi-key,Digi-key,490-1718-2-ND,490-1718-1-ND,±20%,,,,,,6.3V
5,1,C12,C00007,capacitors:C00007,footprints:C_0603_1608M,http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM188R60J475ME19.pdf,,,09/23/11 00:00:00,4u7,Datasheet,,,,CAP CER 4.7UF 6.3V X5R 0603,X5R,,,,GRM188R60J475ME19D,Murata,,603,,,Digi-key,Digi-key,490-5421-2-ND,490-5421-1-ND,±20%,,,,,,6.3V
6,1,C24,C00003,capacitors:C00003,footprints:CRADIAL_6.3x11.2_2.5,http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0012+ECA1EM101+7+WW,,,02/18/11 00:00:00,100µ,Component Page,,,,CAP 100UF 25V ALUM LYTIC RADIA,Electrolytic,,,,ECA-1EM101,Panasonic,,Radial,,,Digi-key,,P5152-ND,,±20%,,,,,,25V
7,2,"C25, C26",C00027,capacitors:C00027,footprints:C_0402_1005M,http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_10.pdf,,,2008-02-18 0:00,4n7,Datasheet,,,,CAP CER 4700PF 50V X7R 0402,X7R,,,,8.85012E+11,Wurth,,402,,,Digi-Key,Digi-Key,732-7560-1-ND,732-7560-2-ND,±10%,,,,,,50V
8,1,D2,LED00006,leds:LED00006,footprints:LED_3535_NEOPIXEL_MINI,https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf,,RGB,04/29/16 00:00:00,,Datasheet,,,,"LED RGB, ADDRESSABLE, 3535",,,,,SK6812MINI,"DONGGUANG OPSCO OPTOELECTRONICS CO., LTD",,3535,,,Digi-Key,Adafruit,1528-1541-ND,2686,,,,,,,5V
9,3,"D3, D4, D5",D00003,diodes:D00003,footprints:SOT_6_950_2900X1600X1100,http://www.st.com/web/en/resource/technical/document/datasheet/CD00047494.pdf,,,07/18/15 00:00:00,,Datasheet,,,,TVS DIODE 5.25VWM 17VC SOT23-6,,,-,,USBLC6-4SC6,ST,,,-,,Digi-Key,,497-4492-1-ND,,,TVS ARRAY,-,6,,,
10,1,D6,D00006,diodes:D00006,footprints:SOT_3_950_2900X1300X1000_ONSEMI,http://www.onsemi.com/pub/Collateral/BAT54CLT1-D.PDF,,,09/23/18 00:00:00,,Datasheet,,,,DIODE ARRAY SCHOTTKY 30V SOT23-3,,,200mA,,BAT54CLT3G,ON Semiconductior,,,225mQ,,Digi-Key,,BAT54CLT3GOSCT-ND,,,Array,300mV @ 1MA,30V,,,
11,1,J1,CN00050,connectors:CN00050,footprints:J_CUI_SJ1-3533NG,https://www.cui.com/product/resource/digikeypdf/sj1-353xng.pdf,,,07/29/18 00:00:00,,Drawing,,,,CONN JACK STEREO 3.5MM R/A,,,,,SJ1-3533NG,CUI,,,,,Digi-Key,,CP1-3533NG-ND,,,,,,,,
